Distance,Ideal,Actual
2640,0.86,3
1108,2.8,4
3696,1.5,3
2640,0.9,2
2112,0.9,2
2112,1.2,2
3168,1.8,3
5808,1.9,3
70752,12.4,15
28512,4.98,6
17424,3.05,4
26928,6.55,7
12144,2.51,3
5280,1.714,3
7392,2.057,3
23760,5.785,6
14256,4.63,5
27984,5.78,6
5280,1.71,3
5280,2.4,3
3168,1.2,2
57024,11.78,12
2112,0.96,2
4752,1.8,4
4752,1.54,4
3168,1.8,2
3696,1.4,3
