Distance,Ideal,Actual
3686,1.2,5.0
1584,0.6,3.0
4752,2.6,7
5280,2.4,5
2640,1.5,3
3168,1,3
2112,0.7,3
2640,1.5,3
2112,1.5,3
2112,0.96,3
4224,1.371,3
18480,3.231,6
5280,1.71,4
24288,4.246,8
79100,13.829,24
2112,0.96,3
2112,0.686,2
3168,0.9,4
2640,1.2,3
2112,0.96,2
2640,1.2,5
2112,0.96,3
1584,0.9,2
2112,0.96,2
