Distance,Ideal,Actual
30624,6.3,45.0
8448,1.8,12.0
2640,0.545,4
16368,3.38,27
7392,1.53,11
377,0.1224,1
384,0.09697,1
367,0.0927,1
3696,0.7636,5
1056,0.2182,2
2112,0.4364,3
4224,0.64,6
6864,1.04,11
3168,0.48,5
3696,0.7636,6
26928,5.5636,30
6336,1.44,11
3168,1.44,8
3168,0.48,5
213,0.0323,1
2640,0.667,4
11088,2.2909,15
3696,0.7,5
2640,0.5,4
528,0.1,1
528,0.1,1
7920,2,13
